title,price,stock,image,category
A Light in the Attic,51.77,In stock,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,Three
Tipping the Velvet,53.74,In stock,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,One
Soumission,50.1,In stock,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,One
Sharp Objects,47.82,In stock,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,Four
Sapiens: A Brief History of Humankind,54.23,In stock,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,Five
The Requiem Red,22.65,In stock,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,One
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,Four
The Black Maria,52.15,In stock,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,One
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,Two
Shakespeare's Sonnets,20.66,In stock,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,Four
Set Me Free,17.46,In stock,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,Five
Rip it Up and Start Again,35.02,In stock,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,Three
Olio,23.88,In stock,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,One
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,One
Libertarianism for Beginners,51.33,In stock,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,Two
It's Only the Himalayas,45.17,In stock,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,Two
In Her Wake,12.84,In stock,../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,One
How Music Works,37.32,In stock,../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In stock,../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,Three
Chase Me (Paris Nights #2),25.27,In stock,../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,Five
Black Dust,34.53,In stock,../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,Five
Birdsong: A Story in Pictures,54.64,In stock,../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,In stock,../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,Three
Aladdin and His Wonderful Lamp,53.13,In stock,../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,Three
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,In stock,../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,Five
Wall and Piece,44.18,In stock,../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,Four
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock,../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,In stock,../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,Three
The Elephant Tree,23.82,In stock,../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,Five
The Bear and the Piano,36.89,In stock,../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,One
